clear
[H[2J[3Jgcc -o prog *.c -lm
./prog ./input/N10000_S50_C300_M10.txt ./output/saida.txt
8139 ( 3.596678 )
8151 ( 3.249012 )
8168 ( 1.882627 )
8187 ( 2.621374 )
8192 ( 2.788963 )
8232 ( 3.039906 )
8320 ( 3.567870 )
8410 ( 3.410062 )
8443 ( 3.261024 )
8455 ( 2.793398 )
8464 ( 3.233941 )
8564 ( 3.205818 )
8647 ( 3.566628 )
8655 ( 2.960694 )
8659 ( 4.244781 )
8680 ( 3.475268 )
8681 ( 3.103365 )
8698 ( 2.896699 )
8712 ( 2.936437 )
8736 ( 3.017712 )
8739 ( 2.811264 )
8748 ( 2.792094 )
8771 ( 3.381947 )
8823 ( 2.849857 )
8851 ( 3.083749 )
8904 ( 2.107725 )
8907 ( 2.148816 )
8914 ( 2.144316 )
8944 ( 2.381041 )
8980 ( 3.065655 )
9078 ( 3.590052 )
9086 ( 2.269596 )
9105 ( 2.850873 )
9138 ( 2.948023 )
9156 ( 2.579563 )
9160 ( 3.759320 )
9271 ( 2.704962 )
9369 ( 2.709362 )
9380 ( 2.125782 )
9391 ( 2.757723 )
9432 ( 3.327038 )
9465 ( 3.731991 )
9510 ( 2.521203 )
9591 ( 3.105177 )
9644 ( 3.476914 )
9660 ( 3.177375 )
9694 ( 2.622341 )
9701 ( 2.879391 )
9728 ( 3.026699 )
9731 ( 3.269230 )
9754 ( 3.291704 )
9765 ( 4.071317 )
9775 ( 2.878210 )
9795 ( 2.987732 )
9839 ( 3.901776 )
9932 ( 2.404084 )
9945 ( 3.616758 )
9990 ( 2.993858 )

---- RTT 121 ----
48 ( 1.734550 )
78 ( 1.498696 )
102 ( 1.608351 )
133 ( 1.263492 )
191 ( 1.782877 )
275 ( 2.143405 )
289 ( 2.109526 )
307 ( 1.449180 )
335 ( 2.074418 )
364 ( 2.740303 )
456 ( 2.121558 )
490 ( 2.533582 )
513 ( 1.608594 )
534 ( 2.119537 )
574 ( 2.013825 )
627 ( 1.918512 )
644 ( 1.900455 )
673 ( 1.987143 )
743 ( 2.198540 )
764 ( 1.847137 )
819 ( 1.865231 )
874 ( 1.732897 )
911 ( 1.897774 )
913 ( 1.501890 )
975 ( 2.734700 )
993 ( 1.751312 )
1067 ( 1.967659 )
1113 ( 1.592843 )
1175 ( 2.630233 )
1184 ( 1.780388 )
1210 ( 2.254981 )
1229 ( 2.228633 )
1245 ( 2.226777 )
1279 ( 2.398519 )
1336 ( 2.063673 )
1369 ( 2.315072 )
1445 ( 1.749675 )
1517 ( 1.973852 )
1565 ( 2.881621 )
1570 ( 2.424639 )
1590 ( 2.036463 )
1597 ( 3.016599 )
1599 ( 2.008150 )
1665 ( 1.666295 )
1693 ( 1.536475 )
1733 ( 2.171175 )
1773 ( 3.550108 )
1788 ( 2.065283 )
1816 ( 2.091813 )
1871 ( 2.654912 )
1920 ( 2.955320 )
1929 ( 1.993995 )
1952 ( 1.897749 )
1968 ( 2.169575 )
1980 ( 2.077190 )
2082 ( 2.647997 )
2102 ( 2.291492 )
2106 ( 1.550192 )
2228 ( 2.551216 )
2229 ( 2.160751 )
2296 ( 2.151944 )
2322 ( 2.766073 )
2354 ( 2.251912 )
2359 ( 2.169656 )
2455 ( 2.714460 )
2458 ( 1.963862 )
2497 ( 2.496193 )
2500 ( 1.171212 )
2504 ( 1.917547 )
2505 ( 2.148330 )
2531 ( 1.853456 )
2609 ( 2.375549 )
2669 ( 2.421509 )
2744 ( 2.858200 )
2762 ( 2.120106 )
2805 ( 3.188420 )
2870 ( 3.407809 )
2922 ( 2.477673 )
2934 ( 1.791246 )
2997 ( 3.033861 )
3037 ( 2.956175 )
3058 ( 2.787390 )
3090 ( 2.873847 )
3102 ( 2.017362 )
3107 ( 2.778334 )
3217 ( 2.179657 )
3265 ( 1.954698 )
3318 ( 2.881879 )
3365 ( 2.425736 )
3408 ( 1.676878 )
3418 ( 3.359059 )
3449 ( 2.409823 )
3528 ( 2.321923 )
3577 ( 3.314218 )
3647 ( 3.128975 )
3733 ( 1.818643 )
3819 ( 2.966954 )
3824 ( 1.598864 )
3843 ( 3.659671 )
3865 ( 2.024393 )
3868 ( 2.087259 )
3949 ( 2.368299 )
3976 ( 1.979379 )
3988 ( 2.902564 )
3998 ( 2.172167 )
4011 ( 2.988777 )
4020 ( 1.963563 )
4025 ( 1.809810 )
4031 ( 2.757268 )
4036 ( 1.114401 )
4043 ( 2.647964 )
4054 ( 2.360059 )
4063 ( 1.579983 )
4071 ( 1.951500 )
4079 ( 3.255439 )
4109 ( 3.153605 )
4132 ( 2.626629 )
4138 ( 2.692636 )
4153 ( 2.568790 )
4157 ( 2.297956 )
4240 ( 2.469713 )
4272 ( 2.508112 )
4273 ( 2.785744 )
4316 ( 2.614229 )
4388 ( 2.094994 )
4505 ( 2.519073 )
4652 ( 2.683991 )
4705 ( 2.349550 )
4723 ( 2.270398 )
4744 ( 2.886794 )
4751 ( 2.582756 )
4764 ( 2.277876 )
4766 ( 1.651835 )
4797 ( 2.497290 )
4800 ( 2.850626 )
4831 ( 2.094100 )
4837 ( 2.347510 )
4953 ( 2.478491 )
4965 ( 3.153511 )
5005 ( 2.938347 )
5047 ( 2.670958 )
5089 ( 2.145799 )
5124 ( 2.079737 )
5127 ( 2.909530 )
5242 ( 1.087247 )
5294 ( 1.882230 )
5318 ( 2.319115 )
5321 ( 1.875046 )
5453 ( 1.443827 )
5462 ( 2.786434 )
5535 ( 1.313285 )
5538 ( 2.784681 )
5570 ( 2.188314 )
5602 ( 1.860704 )
5662 ( 1.880210 )
5784 ( 2.401223 )
5808 ( 2.912981 )
5822 ( 2.405712 )
5908 ( 1.802714 )
5937 ( 3.017601 )
5978 ( 2.963745 )
6005 ( 2.545789 )
6028 ( 3.105054 )
6044 ( 2.687403 )
6045 ( 2.255748 )
6054 ( 2.183685 )
6055 ( 2.577726 )
6057 ( 2.370287 )
6073 ( 2.268322 )
6091 ( 1.786060 )
6106 ( 2.690721 )
6108 ( 2.726422 )
6130 ( 2.368401 )
6168 ( 3.374934 )
6174 ( 2.428082 )
6185 ( 2.299441 )
6192 ( 2.539320 )
6221 ( 1.931395 )
6261 ( 2.616803 )
6297 ( 2.806156 )
6347 ( 2.377637 )
6351 ( 2.231108 )
6400 ( 2.616112 )
6479 ( 2.935012 )
6516 ( 2.480583 )
6561 ( 1.865208 )
6628 ( 2.033041 )
6767 ( 2.999231 )
6786 ( 2.589653 )
6799 ( 3.045903 )
6828 ( 2.876577 )
6833 ( 2.284083 )
6844 ( 2.295467 )
6846 ( 2.218178 )
6847 ( 2.040637 )
6851 ( 3.098004 )
6871 ( 2.916048 )
6878 ( 2.855242 )
6882 ( 2.371450 )
6885 ( 2.009429 )
6894 ( 1.778082 )
6941 ( 1.091881 )
6967 ( 2.976085 )
6978 ( 2.230253 )
6987 ( 2.863908 )
7020 ( 2.483441 )
7029 ( 2.101360 )
